,Car_Name,Brand_Name,Engine Capacity,Category,Body Condition,model Year,Milage,Fuel Type,Transmission,Color,City Registered,Price
12162,Cultus,Suzuki,1000,Hatchback,Fair,2007,143000,Petrol,Manual,White,Punjab,8.75
12163,Cultus,Suzuki,1000,Hatchback,Fair,2012,91,Petrol,Manual,Graphite Grey,Karachi,13.5
12164,Cultus,Suzuki,1000,Hatchback,Excellent,2017,52000,Petrol,Manual,Solid White,Punjab,18.35
12165,Cultus,Suzuki,1000,Hatchback,Excellent,2006,6953,Petrol,Manual,White,Sindh,8.1
12166,Cultus,Suzuki,1000,Hatchback,Fair,2017,65326,Petrol,Manual,Solid White,Lahore,16.65
12167,Cultus,Suzuki,1000,Hatchback,Fair,2015,86000,Petrol,Manual,White,Faisalabad,15.75
12168,Cultus,Suzuki,1000,Hatchback,Excellent,2018,127835,Petrol,Manual,Silver,Lahore,24.55
12169,Cultus,Suzuki,1000,Hatchback,Very Poor,2014,70000,Petrol,Manual,Solid White,Karachi,15.0
12170,Cultus,Suzuki,1000,Hatchback,Fair,2007,85000,Petrol,Manual,White,Lahore,9.6
12171,Cultus,Suzuki,1000,Hatchback,Excellent,2021,34000,Petrol,Manual,Graphite Grey,Islamabad,32.0
